IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.32.224,4,4,0.00,62.31,36.47
172.64.42.128,4,4,0.00,60.44,35.29
162.159.14.251,4,4,0.00,57.93,35.22
172.64.53.8,4,4,0.00,59.56,34.66
162.159.9.31,4,4,0.00,59.12,33.97
162.159.38.162,4,4,0.00,61.22,33.89
172.64.154.238,4,4,0.00,58.85,33.66
172.64.156.254,4,4,0.00,61.06,33.44
108.162.194.96,4,4,0.00,59.15,33.20
162.159.22.27,4,4,0.00,60.71,32.57
198.41.223.247,4,4,0.00,59.57,32.17
162.159.60.81,4,4,0.00,58.68,32.06
162.159.34.27,4,4,0.00,58.86,31.64
162.159.0.81,4,4,0.00,58.99,30.73
162.159.24.87,4,4,0.00,59.57,30.61
172.64.43.244,4,4,0.00,61.78,30.50
108.162.195.42,4,4,0.00,62.27,29.06
162.159.39.4,4,4,0.00,55.84,28.62
172.64.49.244,4,4,0.00,61.22,28.57
172.64.52.35,4,4,0.00,59.70,26.78
