IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.48.212,4,4,0.00,69.67,24.94
162.159.6.182,4,4,0.00,67.24,24.18
108.162.198.208,4,4,0.00,67.07,23.53
172.64.33.220,4,4,0.00,69.61,23.09
172.64.159.206,4,4,0.00,67.32,23.02
172.64.53.132,4,4,0.00,54.41,22.91
172.64.150.109,4,4,0.00,68.44,22.81
172.64.158.66,4,4,0.00,67.51,20.95
172.64.146.83,4,4,0.00,71.07,20.57
172.64.34.66,4,4,0.00,66.47,20.08
172.64.42.130,4,4,0.00,65.55,19.87
172.64.147.67,4,4,0.00,65.28,18.67
108.162.196.19,4,4,0.00,69.63,18.04
172.64.154.183,4,4,0.00,70.50,17.69
172.64.32.10,4,4,0.00,64.88,17.17
172.64.155.182,4,4,0.00,68.51,16.11
172.64.50.69,4,4,0.00,66.93,15.19
162.159.8.52,4,4,0.00,68.28,14.89
172.64.52.109,4,4,0.00,67.80,14.78
198.41.222.121,4,4,0.00,70.22,14.61
