IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.159.44,4,4,0.00,65.47,33.03
172.64.157.122,4,4,0.00,67.61,27.30
162.159.27.229,4,4,0.00,67.08,25.33
162.159.24.26,4,4,0.00,64.21,23.99
162.159.3.51,4,4,0.00,67.93,23.96
172.64.155.115,4,4,0.00,66.38,23.66
172.64.229.236,4,4,0.00,59.40,23.36
172.64.38.159,4,4,0.00,67.79,22.85
162.159.21.148,4,4,0.00,67.90,21.48
162.159.58.8,4,4,0.00,66.70,21.16
172.64.153.179,4,4,0.00,64.57,20.78
162.159.45.36,4,4,0.00,61.03,19.77
108.162.195.68,4,4,0.00,65.97,19.00
162.159.0.177,4,4,0.00,66.03,18.57
172.64.53.251,4,4,0.00,67.10,18.35
162.159.25.226,4,4,0.00,67.33,17.27
162.159.44.249,4,4,0.00,60.84,16.96
172.64.148.37,4,4,0.00,65.24,14.66
162.159.42.143,4,4,0.00,67.32,14.27
162.159.4.51,4,4,0.00,63.91,13.38
