IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.24.252,4,4,0.00,62.57,39.16
108.162.198.196,4,4,0.00,57.63,29.81
162.159.38.51,4,4,0.00,57.00,27.55
172.64.41.217,4,4,0.00,61.64,27.07
162.159.23.136,4,4,0.00,62.02,24.86
162.159.39.137,4,4,0.00,56.20,24.19
172.64.150.119,4,4,0.00,60.47,21.85
172.64.153.221,4,4,0.00,60.96,20.99
162.159.12.90,4,4,0.00,61.89,20.40
172.64.50.147,4,4,0.00,62.23,20.27
162.159.10.148,4,4,0.00,61.49,20.03
162.159.17.180,4,4,0.00,61.91,18.54
172.64.155.181,4,4,0.00,60.78,18.18
162.159.27.14,4,4,0.00,61.60,17.97
162.159.46.142,4,4,0.00,61.75,17.37
162.159.9.58,4,4,0.00,62.08,16.80
108.162.194.17,4,4,0.00,60.84,16.44
162.159.3.52,4,4,0.00,60.84,16.17
162.159.61.174,4,4,0.00,60.84,16.09
172.64.229.17,4,4,0.00,58.04,14.55
