IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.32.51,4,4,0.00,63.16,40.44
172.64.35.241,4,4,0.00,60.92,36.88
162.159.19.40,4,4,0.00,61.35,29.19
162.159.17.220,4,4,0.00,65.06,28.13
162.159.39.195,4,4,0.00,59.95,26.59
172.64.156.213,4,4,0.00,64.83,25.19
172.64.158.225,4,4,0.00,65.48,23.70
172.64.149.189,4,4,0.00,65.15,21.98
173.245.58.118,4,4,0.00,63.57,21.86
172.64.48.43,4,4,0.00,60.84,21.40
172.64.52.138,4,4,0.00,59.54,21.19
172.64.159.47,4,4,0.00,63.30,20.90
162.159.18.152,4,4,0.00,64.89,20.42
162.159.22.138,4,4,0.00,65.62,20.10
162.159.44.55,4,4,0.00,63.94,18.89
162.159.3.134,4,4,0.00,65.70,18.73
172.64.151.171,4,4,0.00,64.47,18.33
172.64.144.81,4,4,0.00,63.09,18.30
172.64.150.37,4,4,0.00,64.89,17.13
172.64.152.153,4,4,0.00,64.84,16.11
