IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.39.252,4,4,0.00,59.55,30.04
172.64.144.217,4,4,0.00,59.46,29.69
162.159.58.90,4,4,0.00,60.17,28.08
162.159.46.163,4,4,0.00,58.34,27.06
162.159.32.147,4,4,0.00,59.17,26.80
162.159.35.56,4,4,0.00,59.28,24.76
162.159.36.112,4,4,0.00,55.44,24.24
162.159.27.26,4,4,0.00,59.00,24.15
162.159.6.154,4,4,0.00,54.22,22.96
162.159.20.70,4,4,0.00,58.24,21.65
162.159.22.210,4,4,0.00,55.16,20.89
198.41.223.17,4,4,0.00,59.44,20.28
162.159.38.252,4,4,0.00,55.62,19.84
162.159.41.130,4,4,0.00,59.74,19.58
162.159.5.160,4,4,0.00,58.34,19.57
162.159.48.167,4,4,0.00,57.09,19.35
172.64.35.245,4,4,0.00,56.24,18.92
172.64.49.3,4,4,0.00,58.11,17.80
108.162.198.45,4,4,0.00,55.91,16.22
162.159.11.200,4,4,0.00,52.31,12.46
