IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.4.145,4,4,0.00,61.23,26.20
162.159.58.123,4,4,0.00,61.49,24.66
172.64.147.54,4,4,0.00,61.46,24.62
162.159.3.181,4,4,0.00,60.55,24.18
172.64.149.168,4,4,0.00,60.61,23.29
162.159.21.131,4,4,0.00,60.59,22.42
162.159.23.71,4,4,0.00,62.50,21.96
162.159.17.25,4,4,0.00,62.02,21.31
172.64.157.84,4,4,0.00,62.50,20.54
172.64.150.52,4,4,0.00,61.92,20.05
162.159.15.79,4,4,0.00,61.15,19.99
198.41.211.51,4,4,0.00,62.92,19.13
162.159.14.35,4,4,0.00,59.10,19.03
172.64.53.83,4,4,0.00,55.75,18.32
162.159.13.111,4,4,0.00,62.92,17.83
162.159.35.19,4,4,0.00,62.11,17.67
162.159.39.224,4,4,0.00,62.31,16.19
162.159.6.173,4,4,0.00,62.68,15.50
198.41.222.247,4,4,0.00,59.01,12.63
172.64.34.198,4,4,0.00,59.77,7.91
