IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.11.149,4,4,0.00,62.84,44.77
108.162.192.126,4,4,0.00,60.61,28.11
162.159.8.191,4,4,0.00,62.48,26.46
172.64.154.58,4,4,0.00,60.00,25.84
108.162.196.160,4,4,0.00,62.31,25.39
172.64.40.164,4,4,0.00,59.28,24.47
172.64.157.228,4,4,0.00,63.47,22.45
162.159.13.49,4,4,0.00,61.54,21.51
162.159.27.243,4,4,0.00,60.75,21.45
172.64.152.232,4,4,0.00,62.39,21.28
172.64.33.60,4,4,0.00,59.59,21.16
172.64.151.78,4,4,0.00,57.47,20.86
172.64.42.140,4,4,0.00,59.37,20.83
162.159.2.247,4,4,0.00,62.27,20.70
162.159.16.63,4,4,0.00,59.29,19.90
172.64.144.20,4,4,0.00,62.89,19.60
162.159.62.223,4,4,0.00,60.60,19.07
172.64.155.66,4,4,0.00,59.50,18.94
172.64.34.196,4,4,0.00,63.01,17.77
162.159.33.249,4,4,0.00,58.92,17.32
