IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.8.170,4,4,0.00,68.23,27.77
172.64.50.160,4,4,0.00,68.16,24.91
172.64.229.22,4,4,0.00,57.87,24.85
172.64.148.145,4,4,0.00,67.15,23.56
162.159.44.190,4,4,0.00,61.70,21.65
162.159.24.223,4,4,0.00,65.45,20.81
108.162.195.248,4,4,0.00,66.08,20.59
173.245.59.141,4,4,0.00,68.00,20.33
172.64.151.189,4,4,0.00,66.10,20.17
108.162.198.197,4,4,0.00,67.92,20.15
162.159.27.146,4,4,0.00,67.05,18.52
162.159.19.222,4,4,0.00,66.97,18.45
172.64.40.5,4,4,0.00,68.05,17.77
108.162.194.173,4,4,0.00,65.80,17.56
162.159.45.177,4,4,0.00,59.68,17.11
198.41.223.156,4,4,0.00,68.13,17.01
162.159.40.251,4,4,0.00,67.94,16.95
172.64.52.167,4,4,0.00,66.80,16.70
162.159.33.118,4,4,0.00,67.92,15.09
172.64.149.168,4,4,0.00,66.58,11.87
