IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
108.162.198.233,4,4,0.00,57.97,42.03
172.64.229.104,4,4,0.00,74.25,27.37
162.159.44.240,4,4,0.00,65.64,27.26
172.64.52.14,4,4,0.00,66.67,25.95
162.159.45.196,4,4,0.00,71.27,23.82
172.64.66.137,4,4,0.00,163.60,21.60
190.93.244.63,4,4,0.00,160.80,21.50
141.101.123.186,4,4,0.00,163.96,21.28
162.159.38.9,4,4,0.00,63.24,20.85
190.93.247.46,4,4,0.00,162.65,19.54
162.159.81.0,4,4,0.00,161.05,19.41
162.159.82.153,4,4,0.00,162.37,19.27
172.64.53.120,4,4,0.00,61.46,19.04
172.64.230.39,4,4,0.00,164.11,18.15
162.159.254.231,4,4,0.00,162.83,18.13
162.159.39.15,4,4,0.00,63.40,18.07
172.64.190.155,4,4,0.00,161.74,17.63
172.66.45.119,4,4,0.00,160.88,15.92
172.64.80.71,4,4,0.00,160.54,12.99
198.41.201.190,4,4,0.00,163.01,5.16
