IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.20.88,4,4,0.00,67.39,23.45
162.159.41.131,4,4,0.00,65.89,22.87
162.159.38.106,4,4,0.00,65.99,21.60
162.159.12.244,4,4,0.00,68.98,20.97
162.159.42.61,4,4,0.00,64.16,19.65
172.64.156.210,4,4,0.00,65.59,19.39
162.159.44.62,4,4,0.00,63.20,18.84
108.162.198.143,4,4,0.00,68.75,18.06
108.162.194.40,4,4,0.00,65.47,17.68
172.64.149.97,4,4,0.00,65.26,16.70
162.159.22.232,4,4,0.00,68.11,16.61
162.159.14.235,4,4,0.00,64.76,15.91
172.64.147.2,4,4,0.00,68.58,15.61
162.159.45.86,4,4,0.00,64.71,15.55
162.159.6.5,4,4,0.00,67.94,14.75
162.159.0.7,4,4,0.00,68.20,13.89
172.64.154.165,4,4,0.00,64.51,13.49
162.159.2.52,4,4,0.00,67.39,13.32
162.159.49.20,4,4,0.00,66.10,10.60
162.159.15.8,4,4,0.00,66.83,9.06
