IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.23.52,4,4,0.00,68.12,23.00
162.159.38.38,4,4,0.00,63.38,21.30
162.159.15.19,4,4,0.00,64.11,21.18
172.64.48.177,4,4,0.00,68.89,21.04
108.162.198.96,4,4,0.00,65.65,20.87
172.64.151.119,4,4,0.00,65.16,20.83
172.64.144.123,4,4,0.00,63.98,20.82
162.159.25.229,4,4,0.00,65.84,20.64
172.64.146.241,4,4,0.00,67.19,19.90
108.162.195.62,4,4,0.00,68.37,19.82
162.159.62.178,4,4,0.00,67.50,19.48
162.159.41.148,4,4,0.00,65.51,19.41
162.159.9.179,4,4,0.00,68.61,19.20
162.159.44.69,4,4,0.00,64.09,18.23
162.159.45.163,4,4,0.00,61.96,18.08
172.64.229.93,4,4,0.00,64.28,17.49
172.64.52.130,4,4,0.00,55.93,17.28
162.159.58.23,4,4,0.00,67.09,16.63
173.245.59.233,4,4,0.00,67.51,15.84
172.64.152.243,4,4,0.00,67.18,14.94
