IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
198.41.211.155,4,4,0.00,63.13,50.93
172.64.49.66,4,4,0.00,66.79,40.81
172.64.34.218,4,4,0.00,63.60,34.13
172.64.41.2,4,4,0.00,65.68,30.71
173.245.59.75,4,4,0.00,66.72,27.96
172.64.48.202,4,4,0.00,62.19,27.64
172.64.148.94,4,4,0.00,64.13,26.05
162.159.58.79,4,4,0.00,65.34,25.67
162.159.9.221,4,4,0.00,60.89,24.88
172.64.144.92,4,4,0.00,62.72,23.81
172.64.33.14,4,4,0.00,61.39,21.64
108.162.196.96,4,4,0.00,61.82,21.46
162.159.60.131,4,4,0.00,63.87,20.95
162.159.3.59,4,4,0.00,62.04,20.60
108.162.192.114,4,4,0.00,63.37,20.20
162.159.26.181,4,4,0.00,66.54,19.44
198.41.222.223,4,4,0.00,66.96,18.68
172.64.151.42,4,4,0.00,66.61,18.44
162.159.40.89,4,4,0.00,67.17,17.31
172.64.153.220,4,4,0.00,65.76,17.23
