IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.58.124,4,4,0.00,62.40,30.28
162.159.48.18,4,4,0.00,63.30,27.18
162.159.42.202,4,4,0.00,58.75,25.36
162.159.35.178,4,4,0.00,60.01,25.17
162.159.39.114,4,4,0.00,62.21,24.66
162.159.44.179,4,4,0.00,53.86,23.69
172.64.145.183,4,4,0.00,63.63,23.40
172.64.152.241,4,4,0.00,63.73,23.30
172.64.157.101,4,4,0.00,61.08,22.94
162.159.5.182,4,4,0.00,63.06,21.83
162.159.32.142,4,4,0.00,61.52,21.65
108.162.194.7,4,4,0.00,62.10,20.81
172.64.146.135,4,4,0.00,63.55,20.14
172.64.53.194,4,4,0.00,62.42,18.83
162.159.46.136,4,4,0.00,63.47,18.40
162.159.6.170,4,4,0.00,61.75,18.03
172.64.40.105,4,4,0.00,62.00,17.27
172.64.158.13,4,4,0.00,63.73,16.55
162.159.12.194,4,4,0.00,63.37,14.93
198.41.211.90,4,4,0.00,61.75,14.15
