IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
141.101.115.18,4,4,0.00,149.60,20.69
172.64.176.102,4,4,0.00,147.14,20.63
172.64.83.136,4,4,0.00,157.21,20.44
172.64.229.235,4,4,0.00,58.94,20.31
198.41.219.47,4,4,0.00,153.77,19.61
162.159.248.241,4,4,0.00,156.10,19.42
162.159.193.142,4,4,0.00,154.78,19.27
104.21.227.170,4,4,0.00,155.53,18.34
162.159.45.129,4,4,0.00,58.95,17.66
198.41.206.221,4,4,0.00,155.94,16.66
172.64.84.100,4,4,0.00,152.45,16.63
198.41.214.163,4,4,0.00,154.09,15.67
198.41.208.19,4,4,0.00,156.51,14.50
162.159.39.108,4,4,0.00,59.22,14.11
172.64.53.246,4,4,0.00,58.33,13.91
141.101.114.114,4,4,0.00,156.58,13.67
198.41.198.93,4,4,0.00,150.94,13.08
190.93.245.117,4,4,0.00,153.30,12.38
162.159.235.36,4,4,0.00,151.73,9.94
172.64.87.88,4,4,0.00,156.49,9.74
