IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.3.165,4,4,0.00,59.95,64.83
162.159.39.70,4,4,0.00,57.76,34.35
162.159.45.238,4,4,0.00,57.32,33.80
162.159.35.171,4,4,0.00,58.53,33.06
162.159.60.193,4,4,0.00,62.58,32.78
172.64.48.94,4,4,0.00,60.15,32.18
104.18.39.84,4,4,0.00,62.80,31.91
172.64.35.48,4,4,0.00,62.46,29.62
162.159.41.65,4,4,0.00,62.84,29.13
162.159.16.189,4,4,0.00,62.77,28.90
172.64.148.254,4,4,0.00,62.11,28.66
172.64.40.186,4,4,0.00,62.52,28.42
162.159.20.187,4,4,0.00,59.54,27.75
108.162.195.150,4,4,0.00,62.44,27.56
172.64.155.168,4,4,0.00,61.12,27.01
162.159.42.229,4,4,0.00,61.68,25.35
162.159.23.141,4,4,0.00,62.87,25.29
162.159.13.209,4,4,0.00,62.40,20.06
162.159.25.125,4,4,0.00,59.94,18.69
108.162.194.226,4,4,0.00,62.30,13.97
