IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.144.230,4,4,0.00,63.31,31.97
108.162.192.10,4,4,0.00,60.81,27.33
172.64.53.135,4,4,0.00,62.67,26.98
162.159.49.163,4,4,0.00,63.02,26.69
162.159.45.134,4,4,0.00,57.95,23.72
162.159.20.59,4,4,0.00,63.03,23.33
172.64.42.92,4,4,0.00,60.90,22.63
172.64.158.118,4,4,0.00,63.70,21.79
172.64.38.244,4,4,0.00,64.38,21.62
172.64.48.38,4,4,0.00,63.86,21.56
173.245.59.219,4,4,0.00,61.33,21.21
162.159.42.5,4,4,0.00,63.89,20.96
108.162.196.54,4,4,0.00,62.25,20.66
172.64.43.134,4,4,0.00,62.41,19.70
162.159.44.181,4,4,0.00,62.86,19.64
172.64.229.150,4,4,0.00,61.08,18.88
172.64.33.240,4,4,0.00,63.24,18.41
198.41.223.75,4,4,0.00,64.61,18.22
172.64.41.208,4,4,0.00,59.83,17.80
172.64.35.14,4,4,0.00,63.08,17.23
