IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.48.131,4,4,0.00,62.25,64.89
162.159.45.62,4,4,0.00,56.02,38.53
162.159.44.201,4,4,0.00,55.36,33.93
162.159.33.211,4,4,0.00,60.69,32.94
172.64.146.220,4,4,0.00,62.41,32.93
162.159.4.105,4,4,0.00,61.64,31.80
172.64.49.142,4,4,0.00,61.87,30.23
162.159.62.7,4,4,0.00,59.21,30.05
162.159.24.189,4,4,0.00,61.10,29.54
108.162.194.170,4,4,0.00,62.32,28.65
162.159.49.129,4,4,0.00,62.33,28.58
172.64.52.171,4,4,0.00,58.34,27.40
162.159.1.175,4,4,0.00,62.54,27.28
198.41.211.241,4,4,0.00,59.53,27.16
172.64.40.150,4,4,0.00,58.29,26.93
172.64.147.186,4,4,0.00,59.95,25.78
162.159.0.63,4,4,0.00,63.20,25.49
172.64.150.60,4,4,0.00,60.43,24.93
162.159.43.105,4,4,0.00,61.10,24.22
162.159.12.245,4,4,0.00,61.86,22.68
