IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.11.17,4,4,0.00,66.82,26.21
162.159.46.229,4,4,0.00,65.60,24.61
172.64.156.219,4,4,0.00,65.43,23.64
162.159.44.17,4,4,0.00,61.01,23.51
172.64.157.133,4,4,0.00,68.05,22.49
172.64.151.157,4,4,0.00,65.48,21.77
108.162.198.43,4,4,0.00,68.16,20.90
162.159.33.209,4,4,0.00,66.77,19.18
162.159.34.71,4,4,0.00,64.76,18.77
162.159.45.52,4,4,0.00,65.60,18.48
172.64.144.219,4,4,0.00,65.60,17.47
162.159.38.144,4,4,0.00,64.79,17.38
172.64.152.117,4,4,0.00,65.51,16.55
162.159.27.43,4,4,0.00,67.59,15.82
162.159.13.164,4,4,0.00,68.01,15.66
162.159.58.34,4,4,0.00,66.99,15.59
172.64.149.153,4,4,0.00,67.44,14.60
172.64.155.199,4,4,0.00,66.41,13.30
172.64.153.169,4,4,0.00,64.07,12.86
162.159.18.3,4,4,0.00,64.38,11.48
