IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
173.245.59.88,4,4,0.00,68.02,25.01
172.64.145.50,4,4,0.00,71.76,23.91
172.64.52.128,4,4,0.00,62.18,23.31
198.41.223.186,4,4,0.00,69.08,23.01
172.64.32.109,4,4,0.00,66.87,22.95
162.159.15.89,4,4,0.00,68.41,22.11
162.159.45.168,4,4,0.00,67.15,21.84
172.64.158.153,4,4,0.00,67.26,21.48
173.245.58.42,4,4,0.00,70.28,21.19
162.159.7.192,4,4,0.00,70.54,21.08
172.64.49.65,4,4,0.00,69.91,20.96
162.159.10.6,4,4,0.00,72.21,20.73
162.159.39.115,4,4,0.00,64.99,19.00
162.159.4.242,4,4,0.00,67.55,18.66
172.64.150.144,4,4,0.00,71.15,18.37
198.41.211.38,4,4,0.00,69.17,17.97
172.64.50.75,4,4,0.00,65.20,17.54
172.64.53.157,4,4,0.00,64.66,17.20
162.159.38.95,4,4,0.00,71.15,15.90
172.64.42.164,4,4,0.00,72.43,15.64
