IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.45.21,4,4,0.00,63.47,28.65
172.64.146.69,4,4,0.00,63.98,27.14
162.159.13.14,4,4,0.00,63.56,26.23
172.64.154.225,4,4,0.00,64.68,25.85
172.64.156.219,4,4,0.00,63.58,25.66
172.64.40.163,4,4,0.00,60.18,25.33
162.159.34.8,4,4,0.00,65.69,23.04
162.159.48.166,4,4,0.00,64.76,22.13
173.245.58.60,4,4,0.00,62.71,21.97
162.159.42.24,4,4,0.00,64.27,21.52
162.159.1.230,4,4,0.00,65.09,21.47
172.64.32.5,4,4,0.00,57.83,20.71
162.159.11.126,4,4,0.00,64.28,20.56
162.159.39.43,4,4,0.00,64.94,18.82
162.159.62.202,4,4,0.00,64.33,18.48
172.64.41.23,4,4,0.00,62.42,17.99
172.64.229.59,4,4,0.00,65.43,16.78
172.64.53.119,4,4,0.00,65.63,16.77
172.64.148.223,4,4,0.00,61.63,11.77
172.64.151.225,4,4,0.00,60.31,8.32
