IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.22.221,4,4,0.00,61.67,31.61
172.64.35.148,4,4,0.00,61.41,29.31
162.159.5.223,4,4,0.00,64.55,27.98
172.64.49.226,4,4,0.00,61.18,27.43
172.64.147.224,4,4,0.00,61.34,27.22
162.159.20.221,4,4,0.00,63.44,26.48
198.41.222.159,4,4,0.00,60.58,23.60
172.64.152.198,4,4,0.00,64.16,22.58
172.64.149.194,4,4,0.00,64.11,22.40
162.159.18.105,4,4,0.00,61.60,22.01
108.162.194.136,4,4,0.00,64.58,20.83
172.64.145.148,4,4,0.00,63.00,20.80
108.162.196.252,4,4,0.00,60.08,20.68
162.159.17.77,4,4,0.00,62.69,19.34
162.159.14.23,4,4,0.00,64.19,18.97
108.162.198.227,4,4,0.00,61.49,18.33
172.64.52.224,4,4,0.00,60.44,17.98
172.64.157.102,4,4,0.00,60.59,16.78
162.159.7.89,4,4,0.00,60.32,14.74
162.159.27.163,4,4,0.00,59.68,13.31
