IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.21.145,4,4,0.00,62.84,32.23
172.64.158.197,4,4,0.00,60.98,29.31
172.64.145.69,4,4,0.00,59.17,26.31
162.159.13.40,4,4,0.00,63.41,25.69
198.41.222.234,4,4,0.00,63.45,23.85
173.245.59.76,4,4,0.00,64.41,21.79
172.64.152.171,4,4,0.00,63.30,21.26
172.64.53.96,4,4,0.00,55.57,21.15
172.64.159.241,4,4,0.00,61.00,20.65
172.64.35.251,4,4,0.00,63.55,20.50
108.162.198.92,4,4,0.00,57.70,19.25
162.159.22.244,4,4,0.00,62.13,18.93
162.159.35.234,4,4,0.00,63.81,18.65
172.64.52.29,4,4,0.00,62.60,18.57
162.159.42.230,4,4,0.00,64.96,18.27
162.159.38.232,4,4,0.00,61.49,17.49
172.64.49.67,4,4,0.00,60.00,17.47
162.159.44.85,4,4,0.00,61.00,17.37
162.159.14.46,4,4,0.00,61.31,17.00
162.159.8.22,4,4,0.00,61.50,13.47
