IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.39.33,4,4,0.00,65.19,64.86
162.159.49.250,4,4,0.00,64.05,34.05
172.64.144.177,4,4,0.00,61.85,32.40
162.159.11.80,4,4,0.00,62.42,28.69
172.64.33.119,4,4,0.00,65.77,26.19
172.64.53.6,4,4,0.00,61.94,24.92
172.64.50.95,4,4,0.00,59.90,24.86
198.41.211.16,4,4,0.00,64.62,23.93
162.159.38.53,4,4,0.00,64.68,23.36
162.159.3.158,4,4,0.00,65.03,22.17
162.159.8.10,4,4,0.00,63.46,20.96
162.159.48.58,4,4,0.00,63.03,20.26
172.64.35.161,4,4,0.00,62.32,19.93
172.64.156.227,4,4,0.00,62.81,19.72
162.159.7.12,4,4,0.00,64.75,19.37
162.159.13.86,4,4,0.00,63.05,18.58
173.245.59.126,4,4,0.00,64.73,18.02
108.162.198.140,4,4,0.00,57.70,17.70
172.64.38.105,4,4,0.00,62.17,17.68
172.64.41.95,4,4,0.00,58.10,12.40
