IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.152.174,4,4,0.00,63.71,30.52
162.159.20.179,4,4,0.00,63.56,30.45
108.162.196.252,4,4,0.00,62.99,26.47
108.162.195.74,4,4,0.00,63.48,26.06
172.64.150.194,4,4,0.00,58.24,25.89
162.159.36.133,4,4,0.00,59.16,25.63
108.162.194.166,4,4,0.00,64.90,25.59
162.159.44.103,4,4,0.00,64.70,24.93
172.64.149.100,4,4,0.00,64.60,23.64
162.159.9.221,4,4,0.00,61.57,23.58
162.159.27.203,4,4,0.00,61.83,22.73
162.159.0.185,4,4,0.00,65.09,22.72
162.159.1.79,4,4,0.00,61.66,21.23
172.64.156.248,4,4,0.00,65.00,20.82
172.64.155.232,4,4,0.00,63.11,20.32
172.64.144.184,4,4,0.00,59.76,20.19
172.64.145.26,4,4,0.00,58.85,19.77
108.162.198.17,4,4,0.00,56.19,19.61
162.159.22.69,4,4,0.00,60.74,18.22
172.64.151.8,4,4,0.00,62.86,16.03
