IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
198.41.222.86,4,4,0.00,58.32,52.47
104.18.43.99,4,4,0.00,60.61,35.44
172.64.153.249,4,4,0.00,63.03,33.64
172.64.53.30,4,4,0.00,62.75,31.30
162.159.44.183,4,4,0.00,54.34,30.78
162.159.38.57,4,4,0.00,58.60,30.21
162.159.45.234,4,4,0.00,61.97,29.88
162.159.48.96,4,4,0.00,61.06,29.52
162.159.17.194,4,4,0.00,62.42,29.23
108.162.198.37,4,4,0.00,50.49,28.78
162.159.13.16,4,4,0.00,60.61,28.39
162.159.42.18,4,4,0.00,62.76,27.74
172.64.156.163,4,4,0.00,62.77,27.48
104.18.39.23,4,4,0.00,61.61,26.94
162.159.25.12,4,4,0.00,59.15,26.66
162.159.24.64,4,4,0.00,59.69,26.54
172.64.50.133,4,4,0.00,59.94,25.96
172.64.52.165,4,4,0.00,57.16,25.17
162.159.39.233,4,4,0.00,56.01,25.05
162.159.36.146,4,4,0.00,60.88,21.77
