IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.15.249,4,4,0.00,65.42,80.00
162.159.61.67,4,4,0.00,63.41,69.16
108.162.194.196,4,4,0.00,64.84,55.90
198.41.223.24,4,4,0.00,63.72,37.61
162.159.44.61,4,4,0.00,56.18,30.88
162.159.35.219,4,4,0.00,61.36,24.93
172.64.50.200,4,4,0.00,64.31,24.63
108.162.196.6,4,4,0.00,62.93,23.41
173.245.59.86,4,4,0.00,64.22,21.99
162.159.42.73,4,4,0.00,65.51,21.58
172.64.40.60,4,4,0.00,64.08,19.82
162.159.5.95,4,4,0.00,63.54,19.26
172.64.33.122,4,4,0.00,63.37,18.97
162.159.48.247,4,4,0.00,64.25,18.94
162.159.16.117,4,4,0.00,63.75,18.48
108.162.192.80,4,4,0.00,65.60,17.45
162.159.39.8,4,4,0.00,64.15,17.35
162.159.11.101,4,4,0.00,62.29,17.20
162.159.38.232,4,4,0.00,65.17,16.52
162.159.26.239,4,4,0.00,65.37,11.49
