IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.149.147,4,4,0.00,60.23,53.92
172.64.156.225,4,4,0.00,58.47,38.92
172.64.34.11,4,4,0.00,59.36,32.21
162.159.24.242,4,4,0.00,61.71,29.79
162.159.39.75,4,4,0.00,60.52,29.34
162.159.26.184,4,4,0.00,59.55,29.21
162.159.45.63,4,4,0.00,59.18,29.16
172.64.35.151,4,4,0.00,58.73,29.13
172.64.147.165,4,4,0.00,59.06,28.27
162.159.14.170,4,4,0.00,61.59,28.08
108.162.198.238,4,4,0.00,57.23,27.18
172.64.154.71,4,4,0.00,59.17,26.95
162.159.58.46,4,4,0.00,59.55,26.37
172.64.53.52,4,4,0.00,56.52,26.13
172.64.52.40,4,4,0.00,57.63,25.61
162.159.18.232,4,4,0.00,60.46,25.24
162.159.25.52,4,4,0.00,59.15,24.51
162.159.8.150,4,4,0.00,60.83,24.43
162.159.15.150,4,4,0.00,58.05,18.47
162.159.44.32,4,4,0.00,53.62,14.19
