IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.18.96,4,4,0.00,65.17,45.13
172.64.159.19,4,4,0.00,63.77,40.02
162.159.60.182,4,4,0.00,60.18,32.07
162.159.39.235,4,4,0.00,56.08,30.03
162.159.33.136,4,4,0.00,63.86,28.62
162.159.16.202,4,4,0.00,65.43,25.78
162.159.48.144,4,4,0.00,59.75,23.73
108.162.195.87,4,4,0.00,65.56,23.61
172.64.145.95,4,4,0.00,62.02,23.14
162.159.22.76,4,4,0.00,60.62,23.04
162.159.44.197,4,4,0.00,61.07,21.16
198.41.223.76,4,4,0.00,63.72,19.98
162.159.15.24,4,4,0.00,59.71,19.24
162.159.2.108,4,4,0.00,64.99,18.85
162.159.45.43,4,4,0.00,65.35,18.40
172.64.150.3,4,4,0.00,64.72,16.00
108.162.193.29,4,4,0.00,59.04,15.74
162.159.5.30,4,4,0.00,65.18,13.25
162.159.19.130,4,4,0.00,64.11,1.90
172.64.153.227,4,4,0.00,64.90,1.21
