IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
198.41.223.221,4,4,0.00,63.93,86.57
172.64.52.215,4,4,0.00,68.39,28.98
162.159.6.190,4,4,0.00,68.94,27.35
162.159.39.17,4,4,0.00,68.52,26.55
172.64.50.176,4,4,0.00,68.50,25.78
172.64.40.91,4,4,0.00,67.00,24.19
172.64.145.123,4,4,0.00,66.50,23.26
108.162.193.129,4,4,0.00,67.43,22.68
172.64.152.168,4,4,0.00,66.16,21.07
108.162.196.227,4,4,0.00,63.32,20.46
172.64.33.76,4,4,0.00,68.73,20.40
162.159.46.101,4,4,0.00,68.37,19.77
108.162.198.100,4,4,0.00,61.32,19.66
172.64.155.117,4,4,0.00,68.72,18.60
162.159.1.213,4,4,0.00,68.91,18.29
108.162.192.171,4,4,0.00,66.59,17.51
172.64.53.216,4,4,0.00,61.45,17.25
172.64.149.130,4,4,0.00,67.41,15.92
172.64.151.205,4,4,0.00,65.23,14.85
172.64.146.35,4,4,0.00,65.04,4.52
