IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.10.58,4,4,0.00,61.51,73.26
162.159.60.234,4,4,0.00,65.34,26.91
162.159.17.168,4,4,0.00,60.46,25.93
172.64.40.95,4,4,0.00,63.10,24.52
162.159.46.86,4,4,0.00,65.32,23.42
172.64.229.239,4,4,0.00,47.44,23.39
108.162.198.194,4,4,0.00,59.77,23.31
162.159.4.240,4,4,0.00,64.82,23.10
162.159.12.64,4,4,0.00,64.85,21.43
198.41.211.26,4,4,0.00,64.23,20.49
108.162.194.207,4,4,0.00,63.61,19.86
162.159.11.238,4,4,0.00,64.15,19.76
198.41.223.146,4,4,0.00,61.39,19.20
172.64.50.63,4,4,0.00,62.12,18.85
108.162.195.243,4,4,0.00,63.30,17.98
108.162.196.37,4,4,0.00,64.68,17.77
162.159.1.190,4,4,0.00,61.54,17.14
162.159.58.106,4,4,0.00,62.00,16.93
172.64.52.41,4,4,0.00,61.52,14.44
172.64.53.110,4,4,0.00,59.83,14.14
