IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.159.82,4,4,0.00,60.81,92.09
162.159.44.69,4,4,0.00,62.76,56.26
173.245.59.41,4,4,0.00,59.88,27.70
108.162.194.152,4,4,0.00,61.12,24.75
162.159.40.205,4,4,0.00,63.18,23.01
162.159.38.175,4,4,0.00,62.44,22.60
172.64.157.80,4,4,0.00,62.68,20.95
162.159.25.207,4,4,0.00,63.69,20.74
162.159.8.113,4,4,0.00,64.44,20.52
172.64.33.166,4,4,0.00,65.13,20.00
172.64.34.246,4,4,0.00,65.44,19.51
108.162.195.206,4,4,0.00,61.48,19.47
172.64.153.238,4,4,0.00,61.40,19.18
162.159.35.123,4,4,0.00,64.57,18.54
172.64.48.142,4,4,0.00,63.17,18.21
172.64.52.246,4,4,0.00,59.81,18.14
172.64.149.246,4,4,0.00,64.40,17.91
162.159.27.117,4,4,0.00,65.23,17.20
108.162.192.122,4,4,0.00,65.75,15.60
162.159.13.195,4,4,0.00,59.89,12.80
