IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.45.68,4,4,0.00,66.61,25.52
162.159.39.193,4,4,0.00,64.48,25.40
173.245.58.161,4,4,0.00,67.09,23.32
162.159.40.128,4,4,0.00,65.84,22.32
198.41.222.187,4,4,0.00,65.58,22.19
172.64.147.55,4,4,0.00,65.09,22.14
162.159.12.57,4,4,0.00,63.47,21.68
172.64.229.151,4,4,0.00,63.78,21.31
162.159.41.20,4,4,0.00,64.81,21.07
172.64.40.236,4,4,0.00,66.49,20.74
172.64.151.200,4,4,0.00,64.66,20.28
162.159.0.3,4,4,0.00,66.71,18.77
172.64.53.254,4,4,0.00,60.77,18.30
162.159.38.181,4,4,0.00,65.31,18.22
162.159.44.20,4,4,0.00,68.34,17.96
162.159.14.83,4,4,0.00,66.84,16.72
108.162.195.96,4,4,0.00,67.21,16.54
108.162.198.51,4,4,0.00,63.42,16.05
162.159.3.57,4,4,0.00,62.69,16.03
198.41.211.220,4,4,0.00,67.04,13.90
