IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.3.96,4,4,0.00,62.05,35.07
162.159.18.196,4,4,0.00,59.67,34.79
172.64.41.177,4,4,0.00,60.76,34.76
172.64.145.77,4,4,0.00,63.41,34.47
162.159.24.236,4,4,0.00,60.61,34.09
162.159.35.108,4,4,0.00,61.78,32.93
172.64.40.45,4,4,0.00,57.72,32.16
162.159.17.82,4,4,0.00,59.92,31.95
162.159.61.14,4,4,0.00,61.28,31.55
108.162.198.136,4,4,0.00,62.92,31.36
172.64.38.217,4,4,0.00,60.62,30.95
172.64.157.13,4,4,0.00,59.91,30.24
108.162.192.19,4,4,0.00,63.33,30.11
108.162.196.33,4,4,0.00,63.17,30.06
162.159.21.63,4,4,0.00,63.57,29.82
162.159.33.10,4,4,0.00,61.99,29.26
162.159.10.156,4,4,0.00,63.02,28.84
172.64.229.26,4,4,0.00,54.76,28.57
162.159.43.82,4,4,0.00,61.49,28.47
162.159.25.28,4,4,0.00,61.14,27.40
