IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.9.82,4,4,0.00,63.38,55.08
162.159.25.110,4,4,0.00,61.62,32.69
172.64.229.165,4,4,0.00,52.62,32.36
162.159.44.160,4,4,0.00,60.18,31.61
172.64.41.121,4,4,0.00,63.65,28.11
172.64.53.223,4,4,0.00,62.73,27.63
108.162.193.11,4,4,0.00,63.06,26.38
108.162.195.233,4,4,0.00,62.84,26.37
162.159.20.252,4,4,0.00,63.67,25.68
162.159.43.68,4,4,0.00,61.46,25.42
162.159.17.214,4,4,0.00,60.65,24.60
172.64.154.63,4,4,0.00,59.60,23.92
172.64.148.91,4,4,0.00,63.91,23.55
172.64.149.157,4,4,0.00,63.87,23.42
162.159.49.86,4,4,0.00,63.87,22.26
172.64.49.203,4,4,0.00,60.83,21.12
162.159.45.44,4,4,0.00,57.40,21.11
173.245.58.6,4,4,0.00,61.88,20.97
162.159.39.115,4,4,0.00,59.66,18.71
108.162.192.129,4,4,0.00,62.77,18.56
