IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.24.155,4,4,0.00,62.24,93.62
108.162.194.128,4,4,0.00,59.20,50.23
162.159.41.45,4,4,0.00,58.84,35.58
172.64.147.26,4,4,0.00,60.96,35.06
198.41.223.51,4,4,0.00,62.29,34.31
172.64.53.16,4,4,0.00,59.51,34.26
162.159.36.61,4,4,0.00,59.93,32.70
172.64.157.16,4,4,0.00,62.13,32.54
198.41.222.125,4,4,0.00,60.81,32.22
162.159.4.157,4,4,0.00,61.79,31.26
172.64.148.148,4,4,0.00,60.78,31.01
162.159.60.129,4,4,0.00,59.89,30.99
108.162.198.87,4,4,0.00,62.36,30.92
162.159.25.193,4,4,0.00,61.36,30.49
172.64.52.18,4,4,0.00,60.49,29.88
172.64.49.178,4,4,0.00,61.59,29.26
162.159.17.135,4,4,0.00,60.52,27.96
172.64.41.210,4,4,0.00,61.34,27.37
172.64.151.118,4,4,0.00,59.75,26.94
108.162.193.242,4,4,0.00,59.28,26.46
