IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.40.240,4,4,0.00,63.37,94.55
172.64.155.12,4,4,0.00,64.19,41.56
108.162.193.242,4,4,0.00,62.20,40.17
172.64.42.64,4,4,0.00,62.88,31.09
172.64.49.116,4,4,0.00,65.49,30.86
162.159.14.21,4,4,0.00,63.18,28.49
162.159.4.75,4,4,0.00,61.59,27.99
173.245.58.219,4,4,0.00,61.08,27.19
162.159.19.211,4,4,0.00,60.91,26.82
172.64.157.232,4,4,0.00,62.76,25.80
172.64.53.177,4,4,0.00,59.12,25.65
162.159.17.61,4,4,0.00,63.68,25.29
162.159.8.39,4,4,0.00,61.30,24.84
108.162.194.150,4,4,0.00,66.08,23.86
172.64.34.124,4,4,0.00,62.11,22.60
172.64.38.182,4,4,0.00,65.72,22.28
172.64.149.172,4,4,0.00,63.26,21.49
172.64.33.112,4,4,0.00,64.56,21.34
198.41.223.17,4,4,0.00,63.80,19.45
162.159.44.196,4,4,0.00,63.27,18.88
