IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.33.124,4,4,0.00,65.60,48.09
162.159.9.82,4,4,0.00,64.03,47.10
162.159.5.16,4,4,0.00,62.04,27.86
198.41.211.116,4,4,0.00,64.64,26.82
162.159.27.218,4,4,0.00,64.04,25.74
162.159.12.250,4,4,0.00,61.91,24.56
162.159.46.82,4,4,0.00,63.91,24.02
162.159.4.146,4,4,0.00,62.06,23.36
172.64.53.232,4,4,0.00,60.11,22.97
162.159.3.70,4,4,0.00,61.49,22.76
108.162.192.153,4,4,0.00,63.18,21.09
172.64.32.159,4,4,0.00,64.93,20.65
162.159.62.162,4,4,0.00,65.74,19.61
172.64.43.177,4,4,0.00,64.73,19.49
162.159.16.192,4,4,0.00,59.67,18.74
108.162.193.11,4,4,0.00,64.69,18.63
162.159.6.126,4,4,0.00,65.19,18.45
162.159.26.244,4,4,0.00,64.28,16.88
162.159.44.51,4,4,0.00,62.62,16.38
162.159.13.192,4,4,0.00,65.30,14.47
