IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
108.162.195.128,4,4,0.00,61.19,100.87
172.64.229.50,4,4,0.00,62.99,36.74
172.64.156.6,4,4,0.00,62.37,32.27
172.64.48.140,4,4,0.00,59.89,29.87
173.245.59.109,4,4,0.00,60.66,29.76
172.64.49.236,4,4,0.00,57.27,29.63
162.159.44.10,4,4,0.00,60.43,29.41
108.162.198.94,4,4,0.00,60.47,28.28
162.159.10.247,4,4,0.00,60.85,28.24
104.18.44.38,4,4,0.00,63.89,27.85
172.64.53.186,4,4,0.00,53.45,27.82
172.64.158.194,4,4,0.00,61.41,26.57
172.64.153.178,4,4,0.00,59.69,26.23
172.64.146.250,4,4,0.00,64.99,25.94
172.64.148.42,4,4,0.00,61.18,25.12
162.159.17.61,4,4,0.00,61.47,24.81
162.159.48.5,4,4,0.00,64.64,24.64
162.159.45.133,4,4,0.00,61.44,24.53
172.64.149.12,4,4,0.00,64.76,24.04
172.64.152.242,4,4,0.00,63.14,21.82
