IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.16.25,4,4,0.00,62.46,83.39
172.64.146.134,4,4,0.00,63.04,42.92
172.64.157.52,4,4,0.00,60.42,35.35
162.159.38.208,4,4,0.00,60.16,29.27
172.64.52.212,4,4,0.00,61.89,27.83
162.159.12.13,4,4,0.00,63.54,25.15
198.41.211.63,4,4,0.00,63.06,23.71
162.159.22.241,4,4,0.00,62.20,23.69
162.159.8.121,4,4,0.00,60.73,22.60
172.64.153.144,4,4,0.00,62.18,22.46
162.159.4.79,4,4,0.00,63.27,22.22
172.64.151.162,4,4,0.00,63.11,22.00
108.162.198.190,4,4,0.00,61.03,20.61
162.159.20.81,4,4,0.00,61.13,19.29
162.159.58.229,4,4,0.00,61.33,18.97
162.159.44.28,4,4,0.00,63.89,18.71
172.64.33.28,4,4,0.00,61.73,18.57
162.159.15.49,4,4,0.00,59.83,16.48
172.64.156.148,4,4,0.00,62.21,15.45
162.159.0.199,4,4,0.00,62.87,14.37
