IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.64.147.62,4,4,0.00,60.26,82.88
162.159.14.143,4,4,0.00,60.96,32.20
108.162.193.86,4,4,0.00,60.12,29.98
172.64.38.184,4,4,0.00,60.19,29.44
172.64.151.198,4,4,0.00,60.41,29.42
173.245.59.33,4,4,0.00,62.53,29.24
172.64.40.36,4,4,0.00,61.22,28.80
162.159.21.111,4,4,0.00,60.56,27.04
162.159.11.109,4,4,0.00,58.94,26.93
162.159.41.83,4,4,0.00,60.73,26.11
172.64.148.96,4,4,0.00,59.38,26.00
172.64.50.164,4,4,0.00,62.41,25.54
162.159.6.91,4,4,0.00,60.75,25.18
198.41.223.37,4,4,0.00,59.37,24.42
162.159.2.151,4,4,0.00,60.52,23.70
198.41.211.61,4,4,0.00,61.48,23.16
162.159.9.49,4,4,0.00,62.00,22.59
162.159.7.147,4,4,0.00,62.19,21.94
162.159.61.179,4,4,0.00,61.50,21.69
162.159.35.153,4,4,0.00,58.88,21.66
