IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
173.245.59.208,4,4,0.00,67.88,32.16
172.64.151.27,4,4,0.00,67.96,28.29
172.64.152.159,4,4,0.00,62.37,25.31
172.64.33.177,4,4,0.00,65.03,24.77
172.64.42.71,4,4,0.00,63.30,23.12
162.159.62.150,4,4,0.00,64.63,22.68
172.64.158.45,4,4,0.00,62.49,21.91
162.159.43.230,4,4,0.00,68.32,21.44
108.162.195.79,4,4,0.00,66.88,20.64
198.41.211.122,4,4,0.00,64.19,19.29
172.64.145.13,4,4,0.00,65.23,19.26
108.162.196.207,4,4,0.00,61.23,18.39
162.159.13.242,4,4,0.00,66.95,17.40
172.64.40.47,4,4,0.00,67.52,16.32
162.159.61.174,4,4,0.00,68.16,15.82
162.159.60.174,4,4,0.00,62.67,15.60
162.159.58.198,4,4,0.00,67.50,14.62
172.64.156.79,4,4,0.00,63.10,14.44
108.162.198.146,4,4,0.00,65.86,14.13
172.64.155.43,4,4,0.00,68.12,13.73
