IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.61.43,4,4,0.00,66.11,29.35
162.159.44.120,4,4,0.00,59.65,25.85
162.159.38.24,4,4,0.00,61.01,24.63
162.159.10.213,4,4,0.00,63.14,23.25
162.159.46.103,4,4,0.00,64.46,23.20
172.64.147.56,4,4,0.00,62.27,22.99
108.162.194.50,4,4,0.00,65.56,22.81
162.159.3.251,4,4,0.00,61.71,22.04
198.41.211.197,4,4,0.00,59.89,21.93
108.162.195.126,4,4,0.00,60.70,21.32
173.245.58.49,4,4,0.00,61.48,20.82
162.159.34.243,4,4,0.00,66.11,19.52
108.162.193.20,4,4,0.00,63.42,19.29
173.245.59.229,4,4,0.00,62.83,19.29
162.159.7.253,4,4,0.00,64.43,19.02
162.159.39.248,4,4,0.00,60.81,18.36
162.159.20.81,4,4,0.00,59.29,17.90
172.64.148.231,4,4,0.00,66.36,16.40
162.159.15.51,4,4,0.00,62.64,13.19
108.162.198.92,4,4,0.00,66.84,12.97
