IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.46.63,4,4,0.00,59.32,63.48
172.64.52.77,4,4,0.00,61.04,30.56
162.159.44.238,4,4,0.00,60.22,29.88
172.64.49.156,4,4,0.00,61.06,29.61
162.159.41.45,4,4,0.00,60.42,28.94
172.64.155.22,4,4,0.00,59.76,28.89
162.159.27.119,4,4,0.00,60.17,28.73
172.64.53.96,4,4,0.00,62.62,27.88
104.18.37.212,4,4,0.00,61.47,27.56
198.41.223.89,4,4,0.00,60.11,27.53
108.162.198.86,4,4,0.00,57.55,27.17
173.245.59.173,4,4,0.00,60.78,26.66
172.64.152.68,4,4,0.00,62.41,26.45
172.64.147.52,4,4,0.00,61.56,26.27
172.64.149.250,4,4,0.00,60.75,25.72
172.64.34.230,4,4,0.00,61.17,25.49
162.159.18.238,4,4,0.00,60.39,25.43
172.64.43.172,4,4,0.00,60.86,24.94
162.159.35.197,4,4,0.00,60.03,24.59
108.162.196.134,4,4,0.00,60.80,20.87
