IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.38.223,4,4,0.00,63.67,29.68
172.64.144.243,4,4,0.00,64.67,26.93
198.41.222.200,4,4,0.00,59.43,26.08
162.159.46.110,4,4,0.00,63.18,24.25
162.159.13.106,4,4,0.00,62.02,22.32
172.64.38.205,4,4,0.00,63.69,21.92
172.64.53.74,4,4,0.00,61.82,21.85
108.162.198.38,4,4,0.00,56.36,20.00
172.64.35.223,4,4,0.00,64.25,19.58
162.159.6.246,4,4,0.00,62.33,18.92
172.64.32.209,4,4,0.00,60.46,18.48
162.159.7.178,4,4,0.00,64.63,18.44
172.64.43.127,4,4,0.00,58.56,18.41
172.64.41.83,4,4,0.00,61.86,18.00
173.245.59.206,4,4,0.00,60.81,17.43
108.162.194.89,4,4,0.00,62.00,16.01
172.64.40.35,4,4,0.00,63.21,13.95
162.159.19.50,4,4,0.00,64.66,13.86
162.159.11.242,4,4,0.00,59.75,13.24
162.159.1.220,4,4,0.00,59.44,7.60
