IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.2.47,4,4,0.00,62.34,34.02
162.159.8.195,4,4,0.00,59.93,33.80
172.64.158.134,4,4,0.00,63.01,33.26
162.159.23.105,4,4,0.00,59.11,32.89
162.159.58.223,4,4,0.00,62.15,31.78
162.159.20.167,4,4,0.00,60.60,31.72
162.159.17.127,4,4,0.00,58.90,31.08
162.159.42.149,4,4,0.00,59.37,30.68
162.159.61.191,4,4,0.00,60.55,30.62
172.64.32.70,4,4,0.00,60.72,29.93
172.64.145.248,4,4,0.00,60.54,29.89
162.159.18.199,4,4,0.00,62.03,28.73
172.64.157.188,4,4,0.00,62.32,27.49
162.159.38.112,4,4,0.00,58.42,26.93
108.162.195.60,4,4,0.00,59.09,26.87
108.162.196.98,4,4,0.00,61.01,26.19
162.159.15.73,4,4,0.00,60.70,25.61
162.159.1.69,4,4,0.00,61.04,25.30
172.64.147.76,4,4,0.00,62.82,23.60
198.41.222.7,4,4,0.00,61.67,22.11
