IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
198.41.211.182,4,4,0.00,68.10,24.17
172.64.52.212,4,4,0.00,63.10,24.14
172.64.50.51,4,4,0.00,65.68,23.06
198.41.222.126,4,4,0.00,65.99,22.97
162.159.39.86,4,4,0.00,65.33,21.42
172.64.34.167,4,4,0.00,67.91,19.91
162.159.11.69,4,4,0.00,62.29,19.39
162.159.20.99,4,4,0.00,68.27,19.27
162.159.17.99,4,4,0.00,64.34,18.55
108.162.198.180,4,4,0.00,63.52,17.52
162.159.2.227,4,4,0.00,62.52,17.25
108.162.192.159,4,4,0.00,67.61,17.23
172.64.146.125,4,4,0.00,65.87,17.03
162.159.44.121,4,4,0.00,56.62,16.97
172.64.53.180,4,4,0.00,55.45,16.75
162.159.38.28,4,4,0.00,64.46,16.46
198.41.223.234,4,4,0.00,64.89,15.67
162.159.24.123,4,4,0.00,64.42,15.49
108.162.194.225,4,4,0.00,66.39,15.44
162.159.41.114,4,4,0.00,67.45,15.27
