IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.44.11,4,4,0.00,63.11,49.97
162.159.62.34,4,4,0.00,63.05,34.67
172.64.147.99,4,4,0.00,60.80,33.58
173.245.59.142,4,4,0.00,60.21,31.85
162.159.23.24,4,4,0.00,62.47,28.36
162.159.26.148,4,4,0.00,64.28,26.02
162.159.41.156,4,4,0.00,62.62,25.46
162.159.58.92,4,4,0.00,63.44,24.64
162.159.8.184,4,4,0.00,64.66,23.45
172.64.41.149,4,4,0.00,64.62,22.94
172.64.148.117,4,4,0.00,62.10,22.00
162.159.43.178,4,4,0.00,61.91,21.92
162.159.60.238,4,4,0.00,63.81,21.77
172.64.42.71,4,4,0.00,63.96,21.73
162.159.16.164,4,4,0.00,61.97,21.56
172.64.145.157,4,4,0.00,60.51,20.84
162.159.24.180,4,4,0.00,63.23,19.71
162.159.5.100,4,4,0.00,61.81,19.40
162.159.9.136,4,4,0.00,64.26,19.32
173.245.58.98,4,4,0.00,62.76,12.90
