IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.45.102,4,4,0.00,62.95,73.52
162.159.1.227,4,4,0.00,63.32,32.56
173.245.59.185,4,4,0.00,61.53,29.31
162.159.38.190,4,4,0.00,56.70,27.83
172.64.154.110,4,4,0.00,62.30,27.43
173.245.58.201,4,4,0.00,62.73,26.83
172.64.40.250,4,4,0.00,62.93,25.11
172.64.144.78,4,4,0.00,63.86,24.39
162.159.8.93,4,4,0.00,59.79,23.42
162.159.44.38,4,4,0.00,63.62,23.35
162.159.62.83,4,4,0.00,60.42,22.51
172.64.229.212,4,4,0.00,62.41,21.41
162.159.5.75,4,4,0.00,60.44,21.12
162.159.27.97,4,4,0.00,60.93,20.80
162.159.58.197,4,4,0.00,63.47,20.42
162.159.42.191,4,4,0.00,62.70,19.89
108.162.198.62,4,4,0.00,62.90,19.53
198.41.223.157,4,4,0.00,60.73,18.72
162.159.25.213,4,4,0.00,59.01,8.05
108.162.196.54,4,4,0.00,58.93,1.20
