IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.19.172,4,4,0.00,66.73,35.62
172.64.146.193,4,4,0.00,63.88,29.07
108.162.194.81,4,4,0.00,66.74,28.84
172.64.145.154,4,4,0.00,66.55,28.29
172.64.154.65,4,4,0.00,67.59,26.63
198.41.222.64,4,4,0.00,61.20,25.75
172.64.148.163,4,4,0.00,64.07,24.85
172.64.150.249,4,4,0.00,61.17,24.59
108.162.195.133,4,4,0.00,59.46,23.11
173.245.59.68,4,4,0.00,62.10,22.56
162.159.10.204,4,4,0.00,66.76,21.84
108.162.198.86,4,4,0.00,61.08,21.78
198.41.223.154,4,4,0.00,60.97,21.36
172.64.34.171,4,4,0.00,67.53,20.53
172.64.52.128,4,4,0.00,61.51,20.45
108.162.196.27,4,4,0.00,60.43,19.97
172.64.41.109,4,4,0.00,66.72,18.86
172.64.149.222,4,4,0.00,69.08,18.61
172.64.38.101,4,4,0.00,66.26,17.30
172.64.159.253,4,4,0.00,62.24,16.89
