IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
104.18.37.83,4,4,0.00,148.63,33.49
104.18.38.186,4,4,0.00,144.05,32.29
104.18.35.40,4,4,0.00,100.05,29.93
104.18.32.6,4,4,0.00,102.83,27.89
108.162.193.165,4,4,0.00,79.37,27.23
108.162.198.250,4,4,0.00,70.94,26.26
104.18.39.168,4,4,0.00,147.08,25.95
104.18.46.142,4,4,0.00,96.87,23.55
108.162.195.5,4,4,0.00,76.05,23.36
108.162.194.189,4,4,0.00,73.19,22.76
104.18.34.58,4,4,0.00,143.55,21.32
104.18.40.55,4,4,0.00,148.98,21.25
104.18.33.129,4,4,0.00,149.54,21.22
104.18.44.115,4,4,0.00,153.25,18.80
104.18.45.115,4,4,0.00,150.19,17.98
108.162.192.254,4,4,0.00,62.81,17.97
104.18.47.120,4,4,0.00,95.72,17.84
104.18.43.100,4,4,0.00,143.86,16.93
104.18.42.104,4,4,0.00,138.56,16.83
108.162.196.124,4,4,0.00,61.14,13.84
